"id","name","alliance","class_de","class_en","collectorInfo","collectorNumber","corners_0_position","corners_0_smooth","corners_0_value","corners_1_position","corners_1_smooth","corners_1_value","corners_2_position","corners_2_smooth","corners_2_value","corners_3_position","corners_3_smooth","corners_3_value","cost","effect_de","effect_en","healthMod","rarity","category_de","category_en","skus_0_default","skus_0_finish","skus_0_id","skus_0_lang","skus_1_default","skus_1_finish","skus_1_id","skus_1_lang","skus_2_default","skus_2_finish","skus_2_id","skus_2_lang","skus_3_default","skus_3_finish","skus_3_id","skus_3_lang","set_0_name","set_0_number","keywords_de_0","keywords_en_0","subjectImage","tags_0","keywords_de_1","keywords_en_1","previousEffect_clarification","previousEffect_text_en","tags_1","keywords_de_2","keywords_en_2","corners_3_qualifier","skus_2_rarity","skus_4_default","skus_4_finish","skus_4_id","skus_4_lang","corners_1_qualifier","corners_0_qualifier","corners_2_qualifier","keywords_de_3","keywords_en_3","skus_2_collectorInfo","skus_2_opGroup","skus_3_collectorInfo","skus_3_opGroup","skus_3_rarity","skus_5_default","skus_5_finish","skus_5_id","skus_5_lang","keywords_de_4","keywords_en_4","keywords_de_5"
444378441,"Chaos Champion","Chaos","Krieger","Warrior","001/278 - 01 C","1",1,false,"Unit",2,false,"Ability",3,false,"Unit",4,false,"Unit",1,"""Diese brutalen Killer leben nur dafür, die Pläne ihres höllischen Herren voranzutreiben und die Kräfte zu erlangen, die ihr Meister ihnen geben kann.""","""These brutal killers live to further the aims of their infernal master, and for the powers that their master might bestow.""",1,"Common","Champion","Champion",true,"matte","Chaos_Champion","en",false,"shiny","Chaos_Champion_Shiny","en",true,"matte","Chaos_Champion_De","de",false,"shiny","Chaos_Champion_De_Shiny","de","Champions",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554565744,"Aspiring Deathbringer","Chaos","Krieger","Warrior","002/278 - 01 U","2",1,false,"Ability",2,false,"Ability",3,false,"Unit",4,false,"Unit",2,"Wenn der hervorgehobene Champion [unbesetzt] ist, erhöht sich der Schaden durch Fähigkeiten dieses Champions um 1.","While the highlighted Champion is [Disengaged], increase the damage from this Champion's Abilities by 1.",-1,"Uncommon","Champion","Champion",true,"matte","Aspiring_Deathbringer","en",false,"shiny","Aspiring_Deathbringer_Shiny","en",true,"matte","Aspiring_Deathbringer_De","de",false,"shiny","Aspiring_Deathbringer_De_Shiny","de","Champions",1,"Unbesetzt","Disengaged","0010000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1896282427,"Runemarked Deathbringer","Chaos","Krieger","Warrior","003/278 - 01 C","3",1,false,"Unit",2,false,"Ability",3,false,"Unit",4,false,"Remove",2,"Erhaltener Schaden durch hervorgehobene Zauber verringert sich um 2.","Reduce damage received from highlighted Spells by 2.",0,"Common","Champion","Champion",true,"matte","Runemarked_Deathbringer","en",false,"shiny","Runemarked_Deathbringer_Shiny","en",true,"matte","Runemarked_Deathbringer_De","de",false,"shiny","Runemarked_Deathbringer_De_Shiny","de","Champions",1,,,"0010000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1807705658,"Bloodreaver Chieftain","Chaos","Krieger","Warrior","004/278 - 01 C","4",1,false,"Unit",2,false,"Damage",3,false,"Unit",4,false,"Ability",3,"[Heldentat] : Füge deinem Gegner 1 Schaden zu.","[Heroic Act]: 1 damage to your Opponent.",0,"Common","Champion","Champion",true,"matte","Bloodreaver_Chieftain","en",false,"shiny","Bloodreaver_Chieftain_Shiny","en",true,"matte","Bloodreaver_Chieftain_De","de",false,"shiny","Bloodreaver_Chieftain_De_Shiny","de","Champions",1,"Heldentat","Heroic Act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-763680746,"Exalted Deathbringer","Chaos","Krieger","Warrior","005/278 - 01 U","5",1,false,"Ability",2,false,"Unit",3,false,"Unit",4,false,"Remove",3,"Schaden durch Einheiten dieses Champions auf ihrer vierten Ecke erhöht sich um 2.","Increase damage from this Champion's Units on their fourth corner by 2.",-1,"Uncommon","Champion","Champion",true,"matte","Exalted_Deathbringer","en",false,"shiny","Exalted_Deathbringer_Shiny","en",true,"matte","Exalted_Deathbringer_De","de",false,"shiny","Exalted_Deathbringer_De_Shiny","de","Champions",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672216814,"Blood Throne of Khorne","Chaos","Krieger","Warrior","006/278 - 01 C","6",1,false,"Heal",2,false,"Remove",3,false,"Ability",4,false,"Heal",4,"Wenn durch diesen Champion oder eine Karte, die er kontrolliert, eine hervorgehobene Einheit [entfernt] wird, erhältst du 3 Lebenspunkte.","When this Champion, or a card controlled by this Champion, [Removes] a highlighted Unit, gain 3 health.",1,"Common","Champion","Champion",true,"matte","Blood_Throne_of_Khorne","en",false,"shiny","Blood_Throne_of_Khorne_Shiny","en",true,"matte","Blood_Throne_of_Khorne_De","de",false,"shiny","Blood_Throne_of_Khorne_De_Shiny","de","Champions",1,"Entfernen","Remove","11110000","Daemon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-229234640,"Iridescent Horror","Chaos","Zauberer","Wizard","007/278 - 01 C","7",1,false,"Spell",2,false,"Ability",3,false,"Spell",4,false,"Spell",4,"""Ein entsetzlicher Albtraum aus Wahnsinn und Magie. Dieser Daemon von Tzeentch verteilt mit Freuden aus vollen Händen den Tod.""","""A gibbering nightmare of insanity and magic, this daemon of Tzeentch gleefully doles out death with its grasping hands.""",-1,"Common","Champion","Champion",true,"matte","Iridescent_Horror","en",false,"shiny","Iridescent_Horror_Shiny","en",true,"matte","Iridescent_Horror_De","de",false,"shiny","Iridescent_Horror_De_Shiny","de","Champions",1,,,,"Daemon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474421997,"Gaunt Summoner","Chaos","Zauberer","Wizard","008/278 - 01 C","8",1,false,"Spell",2,false,"Remove",3,false,"Spell",4,false,"Spell",5,"[Heldentat] : Nimm 2 Schaden.
Nimm 1 *Daemon* vom Ablagestapel zurück auf die Hand.","[Heroic Act]: 2 damage to yourself. 
Move 1 *Daemon* Unit from your discard pile to your hand.",0,"Common","Champion","Champion",true,"matte","Gaunt_Summoner","en",false,"shiny","Gaunt_Summoner_Shiny","en",true,"matte","Gaunt_Summoner_De","de",false,"shiny","Gaunt_Summoner_De_Shiny","de","Champions",1,"Heldentat","Heroic Act",,"Daemon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1178625065,"Skarr Bloodwrath","Chaos","Krieger","Warrior","009/278 - 01 R","9",1,false,"Damage",2,false,"Unit",3,false,"Damage",4,false,"Unit",6,"Wenn dieser Champion eine hervorgehobene Einheit [entfernt] , mische eine Einheit vom Ablagestapel zurück in dein Deck.","When this Champion [Removes] a highlighted Unit, shuffle a Unit from your discard pile into your deck.",0,"Rare","Champion","Champion",true,"matte","Skarr_Bloodwrath","en",false,"shiny","Skarr_Bloodwrath_Shiny","en",true,"matte","Skarr_Bloodwrath_De","de",false,"shiny","Skarr_Bloodwrath_De_Shiny","de","Champions",1,"Entfernen","Remove","11111111","Unique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951437100,"Valkia the Bloody","Chaos","Krieger","Warrior","010/278 - 01 R","10",1,false,"Remove",2,false,"Damage",3,false,"Damage",4,false,"Unit",6,"[Heldentat] : [Dreh] eine hervorgehobene Einheit (kein *Daemon*) 1 Schritt vorwärts. Löst du damit einen Schadenseffekt aus, erhöhe ihn um 1.","[Heroic Act]: [Rotate] a highlighted non-*Daemon* Unit 1 step forwards. If this triggers a damage effect, increase it by 1.",-1,"Rare","Champion","Champion",true,"matte","Valkia_the_Bloody","en",false,"shiny","Valkia_the_Bloody_Shiny","en",true,"matte","Valkia_the_Bloody_De","de",false,"shiny","Valkia_the_Bloody_De_Shiny","de","Champions",1,"Heldentat","Heroic Act","0000001110","Unique","Drehen","Rotate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
